CID,IUPAC name,InChI,temp,group,pKa
C645125,5-nitrofuran-2-carboxylic acid,"InChI=1S/C5H3NO5/c7-5(8)3-1-2-4(11-3)6(9)10/h1-2H,(H,7,8)",20,H14,2.06
C55011477,5-chloro-2H-tetrazole,"InChI=1S/CHClN4/c2-1-3-5-6-4-1/h(H,3,4,5,6)",,H7,2.07
C134434336,3H-quinazolin-4-one,"InChI=1S/C8H6N2O/c11-8-6-3-1-2-4-7(6)9-5-10-8/h1-5H,(H,9,10,11)",20,H15,2.12
C13506768,2-methyl-6-nitrobenzoic acid,"InChI=1S/C8H7NO4/c1-5-3-2-4-6(9(12)13)7(5)8(10)11/h2-4H,1H3,(H,10,11)",21,H20,2.13
C42371379,5-bromo-2H-tetrazole,"InChI=1S/CHBrN4/c2-1-3-5-6-4-1/h(H,3,4,5,6)",,H7,2.13
C34662367,3-chloro-5-nitrobenzoic acid,"InChI=1S/C7H4ClNO4/c8-5-1-4(7(10)11)2-6(3-5)9(12)13/h1-3H,(H,10,11)",25,H17,2.17
C21151519,4-bromo-3-hydroxy-2H-furan-5-one,"InChI=1S/C4H3BrO3/c5-3-2(6)1-8-4(3)7/h7H,1H2",25,H11,2.23
C55949387,1H-pyrimidin-2-one,"InChI=1S/C4H4N2O/c7-4-5-2-1-3-6-4/h1-3H,(H,5,6,7)",,H8,2.24
C75103810,5-methyl-4-nitro-1H-pyrazole-3-carboxylic acid,"InChI=1S/C5H5N3O4/c1-2-4(8(11)12)3(5(9)10)7-6-2/h1H3,(H,6,7)(H,9,10)",18,H17,2.26
C598594,ethanesulfinic acid,"InChI=1S/C2H6O2S/c1-2-5(3)4/h2H2,1H3,(H,3,4)",20,H11,2.27
C529373,1H-quinolin-4-one,"InChI=1S/C9H7NO/c11-9-5-6-10-8-4-2-1-3-7(8)9/h1-6H,(H,10,11)",20,H12,2.27
C41864055,2-cyano-2-methyl-3-phenylpropanoic acid,"InChI=1S/C11H11NO2/c1-11(8-12,10(13)14)7-9-5-3-2-4-6-9/h2-6H,7H2,1H3,(H,13,14)",25,H25,2.29
C815178,"3,3-dimethyl-2-oxobutanoic acid","InChI=1S/C6H10O3/c1-6(2,3)4(7)5(8)9/h1-3H3,(H,8,9)",20,H19,2.3
C55109289,propane-1-sulfinic acid,"InChI=1S/C3H8O2S/c1-2-3-6(4)5/h2-3H2,1H3,(H,4,5)",20,H14,2.35
C7077658,2-(4-nitrophenyl)propanedinitrile,"InChI=1S/C9H5N3O2/c10-5-8(6-11)7-1-3-9(4-2-7)12(13)14/h1-4,8H",25,H15,2.35
C17696730,methanesulfinic acid,"InChI=1S/CH4O2S/c1-4(2)3/h1H3,(H,2,3)",20,H8,2.35
C7335775,2-benzoyl-6-nitrobenzoic acid,"InChI=1S/C14H9NO5/c16-13(9-5-2-1-3-6-9)10-7-4-8-11(15(19)20)12(10)14(17)18/h1-8H,(H,17,18)",20,H29,2.39
C857402278,2-amino-2-methylpropanoic acid,"InChI=1S/C4H9NO2/c1-4(2,5)3(6)7/h5H2,1-2H3,(H,6,7)",22,H16,2.39
C22385348,"4-methyl-3,7-dihydro-2H-furo[2,3-b]pyridin-6-one","InChI=1S/C8H9NO2/c1-5-4-7(10)9-8-6(5)2-3-11-8/h4H,2-3H2,1H3,(H,9,10)",20,H16,2.42
C98919,benzenecarbothioic S-acid,"InChI=1S/C7H6OS/c8-7(9)6-4-2-1-3-5-6/h1-5H,(H,8,9)",22,H15,2.44
C98558362,"5,5-dimethylhex-2-ynoic acid","InChI=1S/C8H12O2/c1-8(2,3)6-4-5-7(9)10/h6H2,1-3H3,(H,9,10)",25,H22,2.54
C3113722,5-methyl-2-nitrobenzoic acid,"InChI=1S/C8H7NO4/c1-5-2-3-7(9(12)13)6(4-5)8(10)11/h2-4H,1H3,(H,10,11)",20,H20,2.55
C21327866,2-chloro-6-methylbenzoic acid,"InChI=1S/C8H7ClO2/c1-5-3-2-4-6(9)7(5)8(10)11/h2-4H,1H3,(H,10,11)",20,H18,2.59
C50684430,4-methylbenzenecarbothioic S-acid,"InChI=1S/C8H8OS/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)",22,H18,2.59
C5963779,pent-2-ynoic acid,"InChI=1S/C5H6O2/c1-2-3-4-5(6)7/h2H2,1H3,(H,6,7)",25,H13,2.6
C31602638,2H-tetrazol-5-ylmethanamine,"InChI=1S/C2H5N5/c3-1-2-4-6-7-5-2/h1,3H2,(H,4,5,6,7)",25,H10,2.62
C67967117,"7H-1,7-naphthyridin-8-one","InChI=1S/C8H6N2O/c11-8-7-6(3-5-10-8)2-1-4-9-7/h1-5H,(H,10,11)",20,H15,2.64
C52418505,"4,4-dimethylpent-2-ynoic acid","InChI=1S/C7H10O2/c1-7(2,3)5-4-6(8)9/h1-3H3,(H,8,9)",25,H19,2.66
C2756856,1-aminocyclohexane-1-carboxylic acid,"InChI=1S/C7H13NO2/c8-7(6(9)10)4-2-1-3-5-7/h1-5,8H2,(H,9,10)",25,H23,2.66
C6317379,5-nitrothiophene-2-carboxylic acid,"InChI=1S/C5H3NO4S/c7-5(8)3-1-2-4(11-3)6(9)10/h1-2H,(H,7,8)",25,H14,2.68
C89283807,3-nitrothiophene-2-carboxylic acid,"InChI=1S/C5H3NO4S/c7-5(8)4-3(6(9)10)1-2-11-4/h1-2H,(H,7,8)",25,H14,2.68
C27329277,4-methyl-2-nitrobenzoic acid,"InChI=1S/C8H7NO4/c1-5-2-3-6(8(10)11)7(4-5)9(12)13/h2-4H,1H3,(H,10,11)",20,H20,2.68
C4303177,4-chlorofuran-2-carboxylic acid,"InChI=1S/C5H3ClO3/c6-3-1-4(5(7)8)9-2-3/h1-2H,(H,7,8)",20,H12,2.69
C98975,pyrazine-2-carboxylic acid,"InChI=1S/C5H4N2O2/c8-5(9)4-3-6-1-2-7-4/h1-3H,(H,8,9)",,H13,2.7
C7304327,2-fluoro-5-nitrobenzoic acid,"InChI=1S/C7H4FNO4/c8-6-2-1-4(9(12)13)3-5(6)7(10)11/h1-3H,(H,10,11)",25,H17,2.73
C50840,"2,4-dichlorobenzoic acid","InChI=1S/C7H4Cl2O2/c8-4-1-2-5(7(10)11)6(9)3-4/h1-3H,(H,10,11)",25,H15,2.74
C400073747,3-(diethylsulfamoyl)thiophene-2-carboxylic acid,"InChI=1S/C9H13NO4S2/c1-3-10(4-2)16(13,14)7-5-6-15-8(7)9(11)12/h5-6H,3-4H2,1-2H3,(H,11,12)",25,H29,2.77
C50681259,pyridazine-4-carboxylic acid,"InChI=1S/C5H4N2O2/c8-5(9)4-1-2-6-7-3-4/h1-3H,(H,8,9)",,H13,2.8
C59333685,2-hydroxyethylcarbamodithioic acid,"InChI=1S/C3H7NOS2/c5-2-1-4-3(6)7/h5H,1-2H2,(H2,4,6,7)",25,H14,2.82
C13138700,4-nitrothiophene-2-carboxylic acid,"InChI=1S/C5H3NO4S/c7-5(8)4-1-3(2-11-4)6(9)10/h1-2H,(H,7,8)",25,H14,2.83
C78160051,2-(4-methylphenyl)sulfanyl-5-nitrobenzoic acid,"InChI=1S/C14H11NO4S/c1-9-2-5-11(6-3-9)20-13-7-4-10(15(18)19)8-12(13)14(16)17/h2-8H,1H3,(H,16,17)",25,H31,2.84
C23375102,"1,1,1-trifluoro-N-(4-methylsulfonylphenyl)methanesulfonamide","InChI=1S/C8H8F3NO4S2/c1-17(13,14)7-4-2-6(3-5-7)12-18(15,16)8(9,10)11/h2-5,12H,1H3",25,H19,2.84
C496413,1-benzofuran-2-carboxylic acid,"InChI=1S/C9H6O3/c10-9(11)8-5-6-3-1-2-4-7(6)12-8/h1-5H,(H,10,11)",20,H18,2.84
C27457256,pyrimidine-2-carboxylic acid,"InChI=1S/C5H4N2O2/c8-5(9)4-6-2-1-3-7-4/h1-3H,(H,8,9)",,H13,2.85
C16795725,"1H-1,5-naphthyridin-4-one","InChI=1S/C8H6N2O/c11-7-3-5-9-6-2-1-4-10-8(6)7/h1-5H,(H,9,11)",20,H12,2.85
C2159468,2-benzoyl-5-nitrobenzoic acid,"InChI=1S/C14H9NO5/c16-13(9-4-2-1-3-5-9)11-7-6-10(15(19)20)8-12(11)14(17)18/h1-8H,(H,17,18)",20,H29,2.86
C7335606,2-benzoyl-3-nitrobenzoic acid,"InChI=1S/C14H9NO5/c16-13(9-5-2-1-3-6-9)12-10(14(17)18)7-4-8-11(12)15(19)20/h1-8H,(H,17,18)",20,H29,2.87
C53663391,2-bromo-3-methylbenzoic acid,"InChI=1S/C8H7BrO2/c1-5-3-2-4-6(7(5)9)8(10)11/h2-4H,1H3,(H,10,11)",20,H18,2.9
C5437387,3-methyl-2-nitrobenzoic acid,"InChI=1S/C8H7NO4/c1-5-3-2-4-6(8(10)11)7(5)9(12)13/h2-4H,1H3,(H,10,11)",20,H20,2.91
C188853090,9-hydroxyfluorene-9-carboxylic acid,"InChI=1S/C14H10O3/c15-13(16)14(17)11-7-3-1-5-9(11)10-6-2-4-8-12(10)14/h1-8,17H,(H,15,16)",25,H27,2.92
C25638044,2-bromobenzoic acid,"InChI=1S/C7H5BrO2/c8-6-4-2-1-3-5(6)7(9)10/h1-4H,(H,9,10)",21,H15,2.93
C22292075,cyclohexylcarbamodithioic acid,"InChI=1S/C7H13NS2/c9-7(10)8-6-4-2-1-3-5-6/h6H,1-5H2,(H2,8,9,10)",20,H23,2.95
C26264095,2-chlorobenzoic acid,"InChI=1S/C7H5ClO2/c8-6-4-2-1-3-5(6)7(9)10/h1-4H,(H,9,10)",25,H15,2.95
C14623586,"5,6-diamino-1H-pyrimidine-2-thione","InChI=1S/C4H6N4S/c5-2-1-7-4(9)8-3(2)6/h1H,5H2,(H3,6,7,8,9)",,H10,2.96
C5108963,pyrrolidine-1-carbodithioic acid,"InChI=1S/C5H9NS2/c7-5(8)6-3-1-2-4-6/h1-4H2,(H,7,8)",23,H17,2.97
C53257402,5-(2-nitrophenyl)-2H-tetrazole,"InChI=1S/C7H5N5O2/c13-12(14)6-4-2-1-3-5(6)7-8-10-11-9-7/h1-4H,(H,8,9,10,11)",20,H19,2.98
C1975504,2-methyl-3-nitrobenzoic acid,"InChI=1S/C8H7NO4/c1-5-6(8(10)11)3-2-4-7(5)9(12)13/h2-4H,1H3,(H,10,11)",20,H20,2.98
C14527414,"1,3-thiazole-5-carboxylic acid","InChI=1S/C4H3NO2S/c6-4(7)3-1-5-2-8-3/h1-2H,(H,6,7)",24,H11,2.99
C5336903,acridine-9-carboxylic acid,"InChI=1S/C14H9NO2/c16-14(17)13-9-5-1-3-7-11(9)15-12-8-4-2-6-10(12)13/h1-8H,(H,16,17)",20,H26,3.0
C101012128,"2-chloro-1,3-thiazole-5-carboxylic acid","InChI=1S/C4H2ClNO2S/c5-4-6-1-2(9-4)3(7)8/h1H,(H,7,8)",25,H11,3.0
C15068356,2-chloro-3-methylbenzoic acid,"InChI=1S/C8H7ClO2/c1-5-3-2-4-6(7(5)9)8(10)11/h2-4H,1H3,(H,10,11)",20,H18,3.0
C61291212,"5-methyl-1,3-thiazole-2-carboxylic acid","InChI=1S/C5H5NO2S/c1-3-2-6-4(9-3)5(7)8/h2H,1H3,(H,7,8)",25,H14,3.03
C759217,2-cyano-3-methylbut-2-enoic acid,"InChI=1S/C6H7NO2/c1-4(2)5(3-7)6(8)9/h1-2H3,(H,8,9)",20,H16,3.04
C76937,"2-hydroxy-2,2-diphenylacetic acid","InChI=1S/C14H12O3/c15-13(16)14(17,11-7-3-1-4-8-11)12-9-5-2-6-10-12/h1-10,17H,(H,15,16)",18,H29,3.05
C117961781,1-hydroxy-1lambda5-phosphetane 1-oxide,"InChI=1S/C3H7O2P/c4-6(5)2-1-3-6/h1-3H2,(H,4,5)",25,H13,3.07
C16391063,dimethylphosphinic acid,"InChI=1S/C2H7O2P/c1-5(2,3)4/h1-2H3,(H,3,4)",25,H12,3.08
C16687608,5-(4-nitrophenyl)-2H-tetrazole,"InChI=1S/C7H5N5O2/c13-12(14)6-3-1-5(2-4-6)7-8-10-11-9-7/h1-4H,(H,8,9,10,11)",20,H19,3.08
C26373808,3-aminobenzoic acid,"InChI=1S/C7H7NO2/c8-6-3-1-2-5(4-6)7(9)10/h1-4H,8H2,(H,9,10)",25,H17,3.09
C7697270,2-bromo-4-methylbenzoic acid,"InChI=1S/C8H7BrO2/c1-5-2-3-6(8(10)11)7(9)4-5/h2-4H,1H3,(H,10,11)",20,H18,3.09
C22292086,propan-2-ylcarbamodithioic acid,"InChI=1S/C4H9NS2/c1-3(2)5-4(6)7/h3H,1-2H3,(H2,5,6,7)",25,H16,3.1
C98197467,6-(ethylamino)-1H-pyrimidine-2-thione,"InChI=1S/C6H9N3S/c1-2-7-5-3-4-8-6(10)9-5/h3-4H,2H2,1H3,(H2,7,8,9,10)",20,H17,3.1
C900791891,1-benzothiophene-2-carboxylic acid,"InChI=1S/C9H6O2S/c10-9(11)8-5-6-3-1-2-4-7(6)12-8/h1-5H,(H,10,11)",20,H18,3.1
C1575968,2-methylnaphthalene-1-carboxylic acid,"InChI=1S/C12H10O2/c1-8-6-7-9-4-2-3-5-10(9)11(8)12(13)14/h2-7H,1H3,(H,13,14)",25,H24,3.11
C16694181,4-bromothiophene-2-carboxylic acid,"InChI=1S/C5H3BrO2S/c6-3-1-4(5(7)8)9-2-3/h1-2H,(H,7,8)",25,H12,3.11
C6342605,2-chloro-5-methylbenzoic acid,"InChI=1S/C8H7ClO2/c1-5-2-3-7(9)6(4-5)8(10)11/h2-4H,1H3,(H,10,11)",20,H18,3.12
C26447289,furan-2-carboxylic acid,"InChI=1S/C5H4O3/c6-5(7)4-2-1-3-8-4/h1-3H,(H,6,7)",22,H12,3.18
C27699930,"4-hydroxynaphthalene-1,2-dione","InChI=1S/C10H6O3/c11-8-5-9(12)10(13)7-4-2-1-3-6(7)8/h1-5,12H",25,H19,3.19
C90154317,6-(butylamino)-1H-pyrimidine-2-thione,"InChI=1S/C8H13N3S/c1-2-3-5-9-7-4-6-10-8(12)11-7/h4,6H,2-3,5H2,1H3,(H2,9,10,11,12)",20,H23,3.2
C22855636,"5-oxocyclohepta-1,3,6-triene-1-carboxylic acid","InChI=1S/C8H6O3/c9-7-3-1-2-6(4-5-7)8(10)11/h1-5H,(H,10,11)",24,H17,3.2
C1518010,"3-methyl-4-(3-methyl-1,2-oxazol-5-yl)-2H-1,2-oxazol-5-one","InChI=1S/C8H8N2O3/c1-4-3-6(12-9-4)7-5(2)10-13-8(7)11/h3,11H,1-2H3",16,H15,3.2
C4389508,2-amino-6-methylbenzoic acid,"InChI=1S/C8H9NO2/c1-5-3-2-4-6(9)7(5)8(10)11/h2-4H,9H2,1H3,(H,10,11)",25,H20,3.2
C813763,diethylphosphinic acid,"InChI=1S/C4H11O2P/c1-3-7(5,6)4-2/h3-4H2,1-2H3,(H,5,6)",25,H18,3.22
C214557898,"3,5,7-trifluoroadamantane-1-carboxylic acid","InChI=1S/C11H13F3O2/c12-9-1-8(7(15)16)2-10(13,4-9)6-11(14,3-8)5-9/h1-6H2,(H,15,16)",,H29,3.24
C7646813,dihexylphosphinic acid,"InChI=1S/C12H27O2P/c1-3-5-7-9-11-15(13,14)12-10-8-6-4-2/h3-12H2,1-2H3,(H,13,14)",25,H36,3.24
C40357968,5-nitrothiophene-3-carboxylic acid,"InChI=1S/C5H3NO4S/c7-5(8)3-1-4(6(9)10)11-2-3/h1-2H,(H,7,8)",24,H14,3.24
C21871443,5-(3-nitrophenyl)-2H-tetrazole,"InChI=1S/C7H5N5O2/c13-12(14)6-3-1-2-5(4-6)7-8-10-11-9-7/h1-4H,(H,8,9,10,11)",20,H19,3.25
C40004691,"2-methyl-1,3-thiazole-5-carboxylic acid","InChI=1S/C5H5NO2S/c1-3-6-2-4(9-3)5(7)8/h2H,1H3,(H,7,8)",25,H14,3.26
C500050,6-oxopyran-3-carboxylic acid,"InChI=1S/C6H4O4/c7-5-2-1-4(3-10-5)6(8)9/h1-3H,(H,8,9)",25,H14,3.26
C7697258,2-chloro-4-methylbenzoic acid,"InChI=1S/C8H7ClO2/c1-5-2-3-6(8(10)11)7(9)4-5/h2-4H,1H3,(H,10,11)",20,H18,3.27
C5198889,"2-bromo-1,3-thiazole-4-carboxylic acid","InChI=1S/C4H2BrNO2S/c5-4-6-2(1-9-4)3(7)8/h1H,(H,7,8)",25,H11,3.28
C5198878,"2-chloro-1,3-thiazole-4-carboxylic acid","InChI=1S/C4H2ClNO2S/c5-4-6-2(1-9-4)3(7)8/h1H,(H,7,8)",25,H11,3.3
C7311639,5-bromothiophene-2-carboxylic acid,"InChI=1S/C5H3BrO2S/c6-4-2-1-3(9-4)5(7)8/h1-2H,(H,7,8)",25,H12,3.3
C29725971,"2,3-dimethylnaphthalene-1-carboxylic acid","InChI=1S/C13H12O2/c1-8-7-10-5-3-4-6-11(10)12(9(8)2)13(14)15/h3-7H,1-2H3,(H,14,15)",25,H27,3.33
C867334,dipropylphosphinic acid,"InChI=1S/C6H15O2P/c1-3-5-9(7,8)6-4-2/h3-6H2,1-2H3,(H,7,8)",25,H24,3.33
C96991,4-chloro-3-nitrobenzoic acid,"InChI=1S/C7H4ClNO4/c8-5-2-1-4(7(10)11)3-6(5)9(12)13/h1-3H,(H,10,11)",25,H17,3.33
C567613,2-hydroxy-6-methylbenzoic acid,"InChI=1S/C8H8O3/c1-5-3-2-4-6(9)7(5)8(10)11/h2-4,9H,1H3,(H,10,11)",22,H19,3.35
C76006332,3-bromo-2-methylbenzoic acid,"InChI=1S/C8H7BrO2/c1-5-6(8(10)11)3-2-4-7(5)9/h2-4H,1H3,(H,10,11)",20,H18,3.36
