predicted pKa: -6.644, reference pKa: -6.560
predicted pKa: 7.374, reference pKa: 7.220
predicted pKa: 7.552, reference pKa: 7.300
predicted pKa: 8.257, reference pKa: 7.310
predicted pKa: 7.615, reference pKa: 7.350
predicted pKa: 7.960, reference pKa: 7.390
predicted pKa: 7.821, reference pKa: 7.400
predicted pKa: 6.529, reference pKa: 7.440
predicted pKa: 6.521, reference pKa: 7.460
predicted pKa: 7.317, reference pKa: 7.480
predicted pKa: 7.306, reference pKa: 7.600
predicted pKa: 8.056, reference pKa: 7.600
predicted pKa: 6.215, reference pKa: 7.630
predicted pKa: 7.919, reference pKa: 7.640
predicted pKa: 8.501, reference pKa: 7.650
predicted pKa: 8.579, reference pKa: 7.670
predicted pKa: 8.107, reference pKa: 7.690
predicted pKa: 8.761, reference pKa: 7.700
predicted pKa: 7.485, reference pKa: 7.750
predicted pKa: 7.448, reference pKa: 7.770
predicted pKa: 7.108, reference pKa: 7.800
predicted pKa: 8.327, reference pKa: 7.820
predicted pKa: 8.139, reference pKa: 7.860
predicted pKa: 7.729, reference pKa: 7.890
predicted pKa: 8.473, reference pKa: 7.920
predicted pKa: 8.041, reference pKa: 7.980
predicted pKa: 7.379, reference pKa: 7.980
predicted pKa: 8.895, reference pKa: 8.000
predicted pKa: 7.767, reference pKa: 8.010
predicted pKa: 9.192, reference pKa: 8.020
predicted pKa: 8.658, reference pKa: 8.070
predicted pKa: 9.506, reference pKa: 8.090
predicted pKa: 8.097, reference pKa: 8.100
predicted pKa: 8.434, reference pKa: 8.120
predicted pKa: 8.697, reference pKa: 8.140
predicted pKa: 7.401, reference pKa: 8.200
predicted pKa: 4.466, reference pKa: 8.200
predicted pKa: 7.815, reference pKa: 8.250
predicted pKa: 8.063, reference pKa: 8.250
predicted pKa: 7.222, reference pKa: 8.260
predicted pKa: 8.142, reference pKa: 8.270
predicted pKa: 8.506, reference pKa: 8.300
predicted pKa: 8.635, reference pKa: 8.340
predicted pKa: 7.089, reference pKa: 8.360
predicted pKa: 8.657, reference pKa: 8.390
predicted pKa: 8.641, reference pKa: 8.440
predicted pKa: 8.522, reference pKa: 8.460
predicted pKa: 9.298, reference pKa: 8.500
predicted pKa: 8.401, reference pKa: 8.580
predicted pKa: 8.557, reference pKa: 8.630
predicted pKa: 8.755, reference pKa: 8.640
predicted pKa: 8.571, reference pKa: 8.660
predicted pKa: 7.676, reference pKa: 8.680
predicted pKa: 7.917, reference pKa: 8.700
predicted pKa: 9.055, reference pKa: 8.700
predicted pKa: 8.377, reference pKa: 8.700
predicted pKa: 8.761, reference pKa: 8.710
predicted pKa: 9.883, reference pKa: 8.740
predicted pKa: 8.549, reference pKa: 8.770
predicted pKa: 8.783, reference pKa: 8.800
predicted pKa: 8.527, reference pKa: 8.810
predicted pKa: 10.029, reference pKa: 8.830
predicted pKa: 8.477, reference pKa: 8.870
predicted pKa: 10.861, reference pKa: 8.890
predicted pKa: 8.854, reference pKa: 8.900
predicted pKa: 8.951, reference pKa: 8.910
predicted pKa: 8.610, reference pKa: 8.940
predicted pKa: 9.490, reference pKa: 8.980
predicted pKa: 8.890, reference pKa: 9.040
predicted pKa: 8.870, reference pKa: 9.090
predicted pKa: 10.026, reference pKa: 9.120
predicted pKa: 8.808, reference pKa: 9.140
predicted pKa: 9.551, reference pKa: 9.170
predicted pKa: 10.091, reference pKa: 9.190
predicted pKa: 9.459, reference pKa: 9.200
predicted pKa: 9.745, reference pKa: 9.250
predicted pKa: 9.575, reference pKa: 9.270
predicted pKa: 9.514, reference pKa: 9.340
predicted pKa: 9.352, reference pKa: 9.360
predicted pKa: 9.368, reference pKa: 9.400
predicted pKa: 9.050, reference pKa: 9.430
predicted pKa: 8.552, reference pKa: 9.470
predicted pKa: 9.066, reference pKa: 9.480
predicted pKa: 9.691, reference pKa: 9.500
predicted pKa: 9.417, reference pKa: 9.590
predicted pKa: 9.619, reference pKa: 9.640
predicted pKa: 9.040, reference pKa: 9.640
predicted pKa: 8.950, reference pKa: 9.660
predicted pKa: 9.540, reference pKa: 9.700
predicted pKa: 9.973, reference pKa: 9.730
predicted pKa: 8.577, reference pKa: 9.750
predicted pKa: 9.679, reference pKa: 9.770
predicted pKa: 10.699, reference pKa: 9.800
predicted pKa: 10.090, reference pKa: 9.810
predicted pKa: 9.755, reference pKa: 9.850
predicted pKa: 9.536, reference pKa: 9.890
predicted pKa: 8.737, reference pKa: 9.920
predicted pKa: 9.645, reference pKa: 9.920
predicted pKa: 9.774, reference pKa: 9.960
predicted pKa: 9.345, reference pKa: 9.980
predicted pKa: 7.269, reference pKa: 10.000
predicted pKa: 10.371, reference pKa: 10.000
predicted pKa: 9.382, reference pKa: 10.000
predicted pKa: 10.041, reference pKa: 10.010
predicted pKa: 10.010, reference pKa: 10.030
predicted pKa: 9.811, reference pKa: 10.080
predicted pKa: 10.037, reference pKa: 10.100
predicted pKa: 10.225, reference pKa: 10.130
predicted pKa: 9.979, reference pKa: 10.180
predicted pKa: 10.239, reference pKa: 10.200
predicted pKa: 12.661, reference pKa: 10.220
predicted pKa: 10.085, reference pKa: 10.230
predicted pKa: 10.052, reference pKa: 10.230
predicted pKa: 8.882, reference pKa: 10.270
predicted pKa: 10.922, reference pKa: 10.300
predicted pKa: 8.784, reference pKa: 10.300
predicted pKa: 10.121, reference pKa: 10.320
predicted pKa: 10.005, reference pKa: 10.350
predicted pKa: 9.069, reference pKa: 10.400
predicted pKa: 10.063, reference pKa: 10.470
predicted pKa: 9.757, reference pKa: 10.500
predicted pKa: 9.969, reference pKa: 10.540
predicted pKa: 10.705, reference pKa: 10.550
predicted pKa: 10.638, reference pKa: 10.600
predicted pKa: 9.961, reference pKa: 10.610
predicted pKa: 9.531, reference pKa: 10.700
predicted pKa: 10.627, reference pKa: 10.760
predicted pKa: 9.721, reference pKa: 10.800
predicted pKa: 10.884, reference pKa: 10.820
predicted pKa: 10.875, reference pKa: 10.840
predicted pKa: 10.224, reference pKa: 10.850
predicted pKa: 10.705, reference pKa: 10.860
predicted pKa: 10.520, reference pKa: 10.880
predicted pKa: 10.655, reference pKa: 10.900
predicted pKa: 10.539, reference pKa: 10.950
predicted pKa: 9.862, reference pKa: 10.960
predicted pKa: 10.752, reference pKa: 10.990
predicted pKa: 9.196, reference pKa: 11.000
predicted pKa: 10.617, reference pKa: 11.180
predicted pKa: 8.734, reference pKa: 11.240
predicted pKa: 10.877, reference pKa: 11.260
predicted pKa: 11.142, reference pKa: 11.300
predicted pKa: 10.600, reference pKa: 11.300
predicted pKa: 10.975, reference pKa: 11.360
predicted pKa: 10.775, reference pKa: 11.480
predicted pKa: 11.718, reference pKa: 11.500
predicted pKa: 10.217, reference pKa: 11.530
predicted pKa: 10.877, reference pKa: 11.560
predicted pKa: 9.710, reference pKa: 11.770
predicted pKa: 11.291, reference pKa: 11.810
predicted pKa: 12.356, reference pKa: 11.910
predicted pKa: 11.695, reference pKa: 12.090
predicted pKa: 13.053, reference pKa: 12.100
predicted pKa: 11.393, reference pKa: 12.140
predicted pKa: 10.600, reference pKa: 12.300
predicted pKa: 10.333, reference pKa: 12.350
predicted pKa: 12.857, reference pKa: 12.520
predicted pKa: 10.413, reference pKa: 12.550
predicted pKa: 10.954, reference pKa: 12.640
predicted pKa: 12.542, reference pKa: 12.800
predicted pKa: 11.847, reference pKa: 13.100
predicted pKa: 12.883, reference pKa: 13.330
predicted pKa: 14.205, reference pKa: 13.460
predicted pKa: 11.744, reference pKa: 13.860
predicted pKa: 13.943, reference pKa: 14.540
predicted pKa: 11.312, reference pKa: 14.700
predicted pKa: 15.317, reference pKa: 15.540
predicted pKa: 14.873, reference pKa: 15.970
predicted pKa: 9.448, reference pKa: 16.650
